T506-3	commande	Partie de : contexte de création		http://data.culture.fr/thesaurus/resource/ark:/67717/T506-3
T506-5	décor déposé	Partie de : contexte de création – Comprend : ensemble homogène, ensemble concerté		http://data.culture.fr/thesaurus/resource/ark:/67717/T506-5
T506-26	oeuvre primée à un concours	concours (alt.) – Partie de : contexte de création – Comprend : morceau d'agrément, prix de la tête d'expression, morceau de réception, prix de Rome, grand prix de l'école des beaux-arts de Toulouse, prix de peinture d'après le modèle vivant, concours du génie rural		http://data.culture.fr/thesaurus/resource/ark:/67717/T506-26
T506-45	tirage d'époque	Partie de : contexte de création		http://data.culture.fr/thesaurus/resource/ark:/67717/T506-45
T506-24	marcottage	Partie de : contexte de création		http://data.culture.fr/thesaurus/resource/ark:/67717/T506-24
T506-168	reconstitution	Partie de : contexte de création		http://data.culture.fr/thesaurus/resource/ark:/67717/T506-168
T506-163	édition originale	Partie de : contexte de création		http://data.culture.fr/thesaurus/resource/ark:/67717/T506-163
T506-43	pièce unique	Partie de : contexte de création		http://data.culture.fr/thesaurus/resource/ark:/67717/T506-43
T506-65	modèle d'atelier	Partie de : modèle		http://data.culture.fr/thesaurus/resource/ark:/67717/T506-65
T506-56	modèle	poncif (alt.), carton (alt.) – Partie de : oeuvre préparatoire – Comprend : modèle d'atelier, carton de dentelle, carton de vitrail, carton de tissu, carton de tapisserie, carton de peinture, modèle original, carton de broderie		http://data.culture.fr/thesaurus/resource/ark:/67717/T506-56
T506-30	morceau d'agrément	Partie de : oeuvre primée à un concours		http://data.culture.fr/thesaurus/resource/ark:/67717/T506-30
T506-84	projet de décor de paquebot	Partie de : projet de décor		http://data.culture.fr/thesaurus/resource/ark:/67717/T506-84
T506-11	épreuve d'état	Partie de : épreuve – Comprend : 9e état, 2e état, état avant la dédicace, 4e état, 3e état, 6e état, état avant la lettre, 5e état, 7e état, 1er état, épreuve d'artiste, 8e état		http://data.culture.fr/thesaurus/resource/ark:/67717/T506-11
T506-18	9e état	Partie de : épreuve d'état		http://data.culture.fr/thesaurus/resource/ark:/67717/T506-18
T506-13	2e état	Partie de : épreuve d'état		http://data.culture.fr/thesaurus/resource/ark:/67717/T506-13
T506-20	état avant la dédicace	Partie de : épreuve d'état		http://data.culture.fr/thesaurus/resource/ark:/67717/T506-20
T506-15	4e état	Partie de : épreuve d'état		http://data.culture.fr/thesaurus/resource/ark:/67717/T506-15
T506-14	3e état	Partie de : épreuve d'état		http://data.culture.fr/thesaurus/resource/ark:/67717/T506-14
T506-165	6e état	Partie de : épreuve d'état		http://data.culture.fr/thesaurus/resource/ark:/67717/T506-165
T506-21	état avant la lettre	Partie de : épreuve d'état		http://data.culture.fr/thesaurus/resource/ark:/67717/T506-21
T506-16	5e état	Partie de : épreuve d'état		http://data.culture.fr/thesaurus/resource/ark:/67717/T506-16
T506-17	7e état	Partie de : épreuve d'état		http://data.culture.fr/thesaurus/resource/ark:/67717/T506-17
T506-12	1er état	Partie de : épreuve d'état		http://data.culture.fr/thesaurus/resource/ark:/67717/T506-12
T506-19	épreuve d'artiste	Partie de : épreuve d'état		http://data.culture.fr/thesaurus/resource/ark:/67717/T506-19
T506-176	8e état	Partie de : épreuve d'état		http://data.culture.fr/thesaurus/resource/ark:/67717/T506-176
T506-173	projet de costume	Partie de : projet		http://data.culture.fr/thesaurus/resource/ark:/67717/T506-173
T506-73	projet	Partie de : oeuvre préparatoire – Comprend : projet de décor, projet de costume, projet d'illustration, projet de tapisserie, projet de sculpture, projet de papier peint, projet d'architecture, projet de forme, projet de mosaïque, projet de mobilier, modello, projet pour un objet, projet de vitrail, projet de tapis		http://data.culture.fr/thesaurus/resource/ark:/67717/T506-73
T506-158	oeuvre inachevée	inachevée (alt.), objet inachevé (alt.)		http://data.culture.fr/thesaurus/resource/ark:/67717/T506-158
T506-72	pochade	Partie de : oeuvre préparatoire		http://data.culture.fr/thesaurus/resource/ark:/67717/T506-72
T506-55	étude	Partie de : oeuvre préparatoire		http://data.culture.fr/thesaurus/resource/ark:/67717/T506-55
T506-47	croquis	Partie de : oeuvre préparatoire		http://data.culture.fr/thesaurus/resource/ark:/67717/T506-47
T506-54	esquisse	Partie de : oeuvre préparatoire		http://data.culture.fr/thesaurus/resource/ark:/67717/T506-54
T506-53	ébauche	Partie de : oeuvre préparatoire		http://data.culture.fr/thesaurus/resource/ark:/67717/T506-53
T506-41	prix de la tête d'expression	Partie de : oeuvre primée à un concours		http://data.culture.fr/thesaurus/resource/ark:/67717/T506-41
